location,sex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,Female,59.77890528365816,59.753692736559394,60.19465921919776,60.47221449244656,60.694719710475006,61.14556750512128,61.59604560904807,61.594499898071064,60.71221087961494,61.98458351274075,62.09798884549935,62.26516119649785,62.68606361735124,63.562502170802624,63.9587819686119,64.33321004783785,64.70528788088639,65.11216041524251,65.4617939674922,65.9334284659171,66.33794277553034,66.69758107212492,67.0155798352697,67.31232977441036,67.30685800518283,67.36719997035054,67.66723682419506,67.86636755890127,67.89357817013705,68.00752743878753,66.43828141217344,64.44202351617473,68.65512217403696,68.98984779332262
Afghanistan,Male,58.05358744319745,57.73091316105908,58.03529226970499,58.55686726772582,58.20203852798106,59.34921657033471,60.09455713045416,59.62140037702043,58.203917373218495,60.27664449482486,60.3271409652448,60.396990636336966,61.5712120946804,62.64741399677665,63.10169737148222,63.322691484363105,63.273698059276214,63.46316659110058,64.10148981710645,64.56609904203812,64.9581886320498,65.39786217397065,65.75685998021443,66.13080646191045,65.81845054833835,65.35764028209661,65.53091387517034,65.52916665284455,64.89134635532939,64.71305535793384,62.95543219457443,59.78230152557298,67.498312153062,68.1381192500209
Albania,Female,74.93069834115472,75.13507956427145,75.5116293090851,75.97416726234204,76.37359172740142,76.66689963279268,76.95484005852205,76.44163432533762,77.53014083724335,77.84321651744716,78.06574809079054,78.35173843760258,78.40811071648295,78.43035633567469,78.68016241925945,78.97277468869349,79.42997997348334,79.94096978255564,80.08061809636608,80.30830684782829,80.4560522063843,80.6741231593958,80.73803514121812,80.74619876094091,80.78430558440316,80.80112458241966,80.90001012814822,80.97611375467396,81.20873782466336,81.34775867102627,80.0311921455793,79.4930517548413,81.28212022785964,82.05155116643024
Albania,Male,69.18655416744394,69.41339933268668,69.7817003774623,70.16640345075041,70.57594582417998,70.81799212630803,70.8254856987501,68.47568255961342,71.7686702008545,72.12005163475729,72.44660720321075,72.78703970001345,72.98273500243928,73.15071301983544,73.43637685769997,73.88050261121577,74.45564415005222,75.03331211503415,75.34649275220343,75.7149355164767,75.90543190412255,76.12078881132489,76.21771747242674,76.31355132582965,76.364486543934,76.39157262115906,76.53159645706457,76.60565821845597,76.6497926603287,76.54037888491483,74.97225604350122,74.4673204797482,76.18526956963183,77.27016315922253
Algeria,Female,69.90140755850288,70.5062162265868,70.930213811906,71.28509123678916,71.63208062352138,71.96747708315553,72.37102145665722,72.70297824895633,72.98620662532672,73.32882855525398,73.62803798907107,73.86222137058012,74.23490954375293,74.22016921690417,74.68389320806594,74.94852511347547,75.17443581638919,75.31403106182181,75.4877240242491,75.62695568254014,75.72573532234901,75.82553318541324,75.95079577378502,76.10937478895829,76.21394004829533,76.27067001186812,76.51267722396742,76.61326270232145,76.67101554691739,76.79573322432282,76.14505941340796,76.37138148571653,77.23330961209203,77.60937965508472
Algeria,Male,67.03243554646512,67.40662705383608,67.80319834423578,68.12344155844605,68.3437121923835,68.60078947843702,69.27876651631281,69.5698747714377,69.79632693471824,70.43669441424123,70.81015795169401,71.18994081677013,71.53274785097835,71.70206835402847,72.15872477228075,72.47386403445856,72.70301059434429,72.86825852027326,73.07411447600157,73.20233782193786,73.38201401545605,73.52253872816998,73.6262522774026,73.77766209162972,73.88085706245653,73.94882094933895,74.02787691818428,74.07748753732375,74.14349852819494,74.2370565892666,73.44704720544712,73.67292958989772,74.33899105366169,74.54653840685305
American Samoa,Female,73.21136723656167,73.09928427772302,73.00975673908891,72.90257901521734,72.8126336262377,72.7208076855033,72.6167004779006,72.50226455631807,72.42525313761818,72.41955996123825,72.3977046432259,72.35482390940211,72.35329430466098,72.02649045638421,72.37743267820447,72.45064075673518,72.50815230713745,72.54434786556037,72.54901756301726,70.58425246166473,72.61516491175865,72.63564555668361,72.70870129735272,72.73997465373634,72.92694461937148,73.15620014220438,73.36399915055937,73.70514444008468,74.00470003533316,74.33178599633361,73.88724166199077,72.20362717658047,74.15876141463416,74.38214305879542
American Samoa,Male,66.28026241964925,66.2472247030431,66.23368355480679,66.2004123740345,66.23926852677235,66.3135609285654,66.35700355744856,66.38453289528141,66.39418634964434,66.3868947985745,66.49098667239944,66.57423137357705,66.56429045851289,66.35708251489356,66.73310525092006,66.84307333750574,66.9914128479301,67.16971561378546,67.42070608505834,66.51600221380153,67.76736904023375,67.93671166947875,68.02113339646644,67.91742082047166,68.09756241884521,68.14603963521671,68.15598614922953,68.17523571664734,68.1365270937228,68.10645288787627,67.1380934681026,64.51309290121537,67.21739514784842,67.96911160634538
Andorra,Female,83.09396282680055,83.18358847546324,83.29439005564326,83.46385934465552,83.56041422246881,83.66128347796355,83.79630482023606,83.89920235535708,84.02073123969166,84.09992813195076,84.18907788145171,84.37928898035962,84.42951182384297,84.72040037214975,84.8732602572602,85.02287455799639,85.21970472124119,85.306887189002,85.48215877307962,85.5992276997845,85.66360801822556,85.77092570792419,85.80168178604161,85.90457234221019,86.01117283845294,86.06195983798504,86.14151367028518,86.15201955571969,86.24794975620405,86.37460886408941,85.29794352382225,85.89595326542255,85.61253768957403,86.20459372979367
Andorra,Male,76.54616095249533,76.6691710772051,76.85575407822591,77.00778960630409,77.19954768647419,77.32076238343721,77.46946725152908,77.64151351384012,77.7724415880835,77.96916761929758,78.09017409645398,78.5713691924473,78.8889076458497,79.14680902497129,79.41975775142211,79.66966147855096,79.92354227550076,80.11739774075082,80.15283337184506,80.24640682321436,80.27069140575634,80.48003584268848,80.61474349928046,80.76858368927103,80.95459811773127,81.08676452800185,81.24968170508069,81.40425861360632,81.52214878437876,81.70186201141843,80.420072279481,81.11454977757681,81.13350436321991,81.79346924987193
